"Category","testPuzzleTitle","testcaseID","testDescription","Test Status","Version and Date of Release to Servers","Version and Date of Release to Servers"
"","Knight Vision","CheckOptionsTest","Test Case Xd.Pl.RC.3.1,Xd.Pl.RC.3.2: Verify if check current letter feature is working<br>Test Case Xd.Pl.RC.4.1, Xd.Pl.RC.4.2: Verifies that the check current word feature is workingTest Case Xd.Pl.RC.5.1, Xd.Pl.RC.5.2: Verifies that the check entire grid feature is workingTest Case 4.3.2: Verifies that turning off Error Check Mode does not alter letters colored by check current letter option","PASSED","",""
"","Knight Vision","Issue2596","Verifies reveal after error check mode works as expected.","PASSED","",""
"","Knight Vision","Issue4421","Test for Issue 4421: multiple event handlers attached to the confirm modal","PASSED","",""
"","Knight Vision","ShareTest","Test Case: Verify that the 'Share' option in menu works","PASSED","",""
"","Knight Vision","PencilModeTest","Pencil mode test","PASSED","",""
"menu","పదవినోదం","SaveTest","Click save from the hamburger menu and see if it works as expected","PASSED","",""
"","పదవినోదం","RevealOptionsTest","Test Case Xd.Pl.RC.13.1: Verifies that the reveal entire grid is working","PASSED","",""
"","పదవినోదం","ClearTest","Test Case Xd.Pl.PD.3.3: Checks that the clear option is working","PASSED","",""
"","పదవినోదం","HelpTest","Test Case Xd.Pl.PD.6.3, Xd.Pl.PD.6.4 Check for presence or absence of rebus help option in the help modal depending on the kind of puzzle","PASSED","",""
"","పదవినోదం","CheckInfoTest","Test Case: Xd.Pl.PD.8.1: Verifies that the info option, if present, is working properly","PASSED","",""
"","పదవినోదం","ErrorCheckMode","Test Case: 4.2.1,4.2.1,4.2.3 : Checks if error check mode is working properly for incorrect answers.","PASSED","",""
"","పదవినోదం","CheckOptionsTest","Test Case Xd.Pl.RC.3.1,Xd.Pl.RC.3.2: Verify if check current letter feature is working<br>Test Case Xd.Pl.RC.4.1, Xd.Pl.RC.4.2: Verifies that the check current word feature is workingTest Case Xd.Pl.RC.5.1, Xd.Pl.RC.5.2: Verifies that the check entire grid feature is workingTest Case 4.3.2: Verifies that turning off Error Check Mode does not alter letters colored by check current letter option","PASSED","",""
"","పదవినోదం","Issue2596","Verifies reveal after error check mode works as expected.","PASSED","",""
"","పదవినోదం","Issue4421","Test for Issue 4421: multiple event handlers attached to the confirm modal","PASSED","",""
"","పదవినోదం","ShareTest","Test Case: Verify that the 'Share' option in menu works","FAILED","",""
"","పదవినోదం","PencilModeTest","Pencil mode test","PASSED","",""
"settings","Text Format in Clues","SettingsTest","Test Case: Xd.Pl.PD.21.01: Verifies that the settings menu is being displayed properly","PASSED","",""
"","Text Format in Clues","StayInCurrentClueTest","Test Case: 9.21.03: Check if stay in current clue feature is working properly","PASSED","",""
"","Text Format in Clues","MoveToNextClueTest","Test Case: 9.21.04: Checks that move to next clue feature is working properly","PASSED","",""
"","Text Format in Clues","SpaceTogglesDirectionTest","Test Case: Xd.Pl.PD.21.07: Checks that use space key to toggle between across and down is working","PASSED","",""
"","Text Format in Clues","SpaceClearsTest","Test Case: Xd.Pl.PD.21.08 : Verify that  when the spacebar is pressed, it should clear the current box and move to the next.","PASSED","",""
"","Text Format in Clues","SkipOverFilledTest","Test Case: Xd.Pl.PD.21.03,Xd.Pl.PD.21.04: Ensures that the puzzle play works as expected with the various combinations of the play settings being applied (namely Skip Over Filled letter mode, At the end of a word do x mode).","PASSED","",""
"","Text Format in Clues","DarkModeAndTimerStickySettingsTest","Test to check the stickiness settings work.","PASSED","",""
"settings","Mini Madness","SettingsTest","Test Case: Xd.Pl.PD.21.01: Verifies that the settings menu is being displayed properly","PASSED","",""
"","Mini Madness","StayInCurrentClueTest","Test Case: 9.21.03: Check if stay in current clue feature is working properly","PASSED","",""
"","Mini Madness","MoveToNextClueTest","Test Case: 9.21.04: Checks that move to next clue feature is working properly","PASSED","",""
"","Mini Madness","SpaceTogglesDirectionTest","Test Case: Xd.Pl.PD.21.07: Checks that use space key to toggle between across and down is working","PASSED","",""
"","Mini Madness","SpaceClearsTest","Test Case: Xd.Pl.PD.21.08 : Verify that  when the spacebar is pressed, it should clear the current box and move to the next.","PASSED","",""
"","Mini Madness","SkipOverFilledTest","Test Case: Xd.Pl.PD.21.03,Xd.Pl.PD.21.04: Ensures that the puzzle play works as expected with the various combinations of the play settings being applied (namely Skip Over Filled letter mode, At the end of a word do x mode).","PASSED","",""
"","Mini Madness","DarkModeAndTimerStickySettingsTest","Test to check the stickiness settings work.","FAILED","",""
"settings","పదవినోదం","SettingsTest","Test Case: Xd.Pl.PD.21.01: Verifies that the settings menu is being displayed properly","PASSED","",""
"","పదవినోదం","SpaceTogglesDirectionTest","Test Case: Xd.Pl.PD.21.07: Checks that use space key to toggle between across and down is working","PASSED","",""
"","పదవినోదం","SkipOverFilledTest","Test Case: Xd.Pl.PD.21.03,Xd.Pl.PD.21.04: Ensures that the puzzle play works as expected with the  Skip Over Filled letter mode enabled (Fails with certain 'Always in rebus mode' Puzzles)","PASSED","",""
"","పదవినోదం","DarkModeAndTimerStickySettingsTest","Test to check the stickiness settings work.","FAILED","",""
"layout","Text Format in Clues","InitStateTest","Test Case:   Xd.Pl.PD.9.01: Verifies that the puzzle's time and score are intialized properly","PASSED","",""
"","Text Format in Clues","AboutTest","Test Case: Xd.Pl.PD.1.2 : Check the ABOUT option is working. (Debug code persistence test expected to fail on Safari since it runs in private browsing mode)Test Case : Xd.Pl.PD.9.05: Verifies logo is not appearing in embed mode","PASSED","",""
"","Text Format in Clues","GridInitTest","Test Case: : Verifies that the puzzle grid is intialized properly from jsonTest Case Xd.Pl.PD.9.04: Checks that Powered by PuzzleMe is shown","PASSED","",""
"","Text Format in Clues","CircledLettersTest","Test Case: Xd.Pl.PD.9.22: Verifies that cells marked as circled during puzzle creation (either through pm-creator or formats) should show up in the grid as circled","PASSED","",""
"","Text Format in Clues","RebusOnResizeTest","Test Case: 9.20.5: Checks that rebus letters are being displayed properly on resize","PASSED","",""
"","Text Format in Clues","NoScrollingTest","Check that that clicking on boxes in the lower half of the puzzle does not result in any inadvertent scrolling","PASSED","",""
"layout","Mini Madness","InitStateTest","Test Case:   Xd.Pl.PD.9.01: Verifies that the puzzle's time and score are intialized properly","PASSED","",""
"","Mini Madness","AboutTest","Test Case: Xd.Pl.PD.1.2 : Check the ABOUT option is working. (Debug code persistence test expected to fail on Safari since it runs in private browsing mode)Test Case : Xd.Pl.PD.9.05: Verifies logo is not appearing in embed mode","PASSED","",""
"","Mini Madness","GridInitTest","Test Case: : Verifies that the puzzle grid is intialized properly from jsonTest Case Xd.Pl.PD.9.04: Checks that Powered by PuzzleMe is shown","PASSED","",""
"","Mini Madness","CircledLettersTest","Test Case: Xd.Pl.PD.9.22: Verifies that cells marked as circled during puzzle creation (either through pm-creator or formats) should show up in the grid as circled","PASSED","",""
"","Mini Madness","RebusOnResizeTest","Test Case: 9.20.5: Checks that rebus letters are being displayed properly on resize","FAILED","",""
"","Mini Madness","NoScrollingTest","Check that that clicking on boxes in the lower half of the puzzle does not result in any inadvertent scrolling","PASSED","",""
"layout","పదవినోదం","InitStateTest","Test Case:   Xd.Pl.PD.9.01: Verifies that the puzzle's time and score are intialized properly","PASSED","",""
"","పదవినోదం","AboutTest","Test Case: Xd.Pl.PD.1.2 : Check the ABOUT option is working. (Debug code persistence test expected to fail on Safari since it runs in private browsing mode) - NOTE: This test fails with indic puzzles since the support email is not present in the about messageTest Case : Xd.Pl.PD.9.05: Verifies logo is not appearing in embed mode","PASSED","",""
"","పదవినోదం","GridInitTest","Test Case: : Verifies that the puzzle grid is intialized properly from jsonTest Case Xd.Pl.PD.9.04: Checks that Powered by PuzzleMe is shown","PASSED","",""
"","పదవినోదం","CircledLettersTest","Test Case: Xd.Pl.PD.9.22: Verifies that cells marked as circled during puzzle creation (either through pm-creator or formats) should show up in the grid as circled","PASSED","",""
"","పదవినోదం","NoScrollingTest","Check that that clicking on boxes in the lower half of the puzzle does not result in any inadvertent scrolling","PASSED","",""
"timer","Text Format in Clues","TimerResumedTest","Test Case: Xd.Pl.Ti.3.1: Verifies that timer resumes automatically","PASSED","",""
"","Text Format in Clues","TimerTickingTest","Test Case: Xd.Pl.Ti.2.1: Verifies Timer is ticking during the play","PASSED","",""
"","Text Format in Clues","TimerPausedTest","Test Case: Xd.Pl.Ti.4.1 : Checks timer is automatically paused","PASSED","",""
"","Text Format in Clues","TimerNotVisibleTest","Verifies that timer is not visible when 'showTimer=0' is used in the link.","PASSED","",""
"timer","Cartoon Crossword","TimerResumedTest","Test Case: Xd.Pl.Ti.3.1: Verifies that timer resumes automatically","PASSED","",""
"","Cartoon Crossword","TimerTickingTest","Test Case: Xd.Pl.Ti.2.1: Verifies Timer is ticking during the play","PASSED","",""
"","Cartoon Crossword","TimerPausedTest","Test Case: Xd.Pl.Ti.4.1 : Checks timer is automatically paused","PASSED","",""
"","Cartoon Crossword","TimerNotVisibleTest","Verifies that timer is not visible when 'showTimer=0' is used in the link.","PASSED","",""
"save","Text Format in Clues","PuzzleSaveTest","Test Case: Xd.Pl.PD.18.4 Checks that the settings are retained on refresh (Expected to fail on Safari since it runs in private browsing mode)","PASSED","",""
"","Text Format in Clues","StickySettingsTest","Test Case: Xd.Pl.PD.18.1,Xd.Pl.PD.18.2,Xd.Pl.PD.18.3: Verifies that puzzle is not erased on refresh and on browser reopen","PASSED","",""
"print","Mini Madness","PrintOptionsTest","Test Case: Xd.Pl.Pr.1.1: Checks that PRINT_DIV options are being shown properly","PASSED","",""
"","Mini Madness","printGridCheck","Print blank puzzle test - checks grid layout in the print page.","PASSED","",""
"","Mini Madness","printFilledLettersGridCheck","Print filled letter puzzle test - checks entered letters are present in the print filled page","PASSED","",""
"","Mini Madness","printSolutionGridCheck","Print solution puzzle test - checks all letters revealed in solution puzzle","PASSED","",""
"","Mini Madness","printFontSizeTest","Print font size test: Increase and decrease font size on the print options.","PASSED","",""
"print","పదవినోదం","PrintOptionsTest","Test Case: Xd.Pl.Pr.1.1: Checks that PRINT_DIV options are being shown properly","PASSED","",""
"","పదవినోదం","printGridCheck","Print blank puzzle test - checks grid layout in the print page.","PASSED","",""
"","పదవినోదం","printFilledLettersGridCheck","Print filled letter puzzle test - checks entered letters are present in the print filled page","PASSED","",""
"","పదవినోదం","printSolutionGridCheck","Print solution puzzle test - checks all letters revealed in solution puzzle","PASSED","",""
"","పదవినోదం","printFontSizeTest","Print font size test: Increase and decrease font size on the print options.","PASSED","",""
"print","0bc0ddb6","PrintOptionsTest","Test Case: Xd.Pl.Pr.1.1: Checks that PRINT_DIV options are being shown properly","PASSED","",""
"","0bc0ddb6","printGridCheck","Print blank puzzle test - checks grid layout in the print page.","PASSED","",""
"","0bc0ddb6","printFilledLettersGridCheck","Print filled letter puzzle test - checks entered letters are present in the print filled page","PASSED","",""
"","0bc0ddb6","printSolutionGridCheck","Print solution puzzle test - checks all letters revealed in solution puzzle","PASSED","",""
"","0bc0ddb6","printFontSizeTest","Print font size test: Increase and decrease font size on the print options.","PASSED","",""
"socialplay","Text Format in Clues","PositionChange","Check that changes in position are reflected across browsers in Social Play mode ","PASSED","",""
"","Text Format in Clues","LetterEntry","Test letter entry, reveal, and clear works as expected","PASSED","",""
"","Text Format in Clues","InviteLinkTest","Test social play session can be initiated by an invite link","PASSED","",""
"","Text Format in Clues","FloatingChatTest","Test floating chat in social play.","PASSED","",""
"","Text Format in Clues","RoomFullTest","Test that social play invite shows room full message after the limit is exceeded in number of players.","PASSED","",""
"","Text Format in Clues","DuplicateSessionTest","Test opening of more than one social play instance in the same browser displays duplicate session message in the initial tab.","PASSED","",""
"","Text Format in Clues","StartModalSocialPlayTest","Test for start modal with social play.","PASSED","",""
"sudoku","Picdoku creation","UndoRedoTest","(Su.Pl.RC.1.1) #11 “Undo and Redo” option in the Assist menu option.","PASSED","",""
"","Picdoku creation","PenAndPencilTest","(Su.Pl.PM.1.1) #09 -  
Check if entries can be made in either pen mode or pencil mode. Pencil mode entries are shown in small size. Toggle between pen and pencil modes by clicking on the respective option in the navbar or by pressing the space bar.
","PASSED","",""
"","Picdoku creation","ShowCandidatesTest","(Su.Pl.RC.1.2) #11
 'Show candidates for cell' option in the Assist menu shows the possible entries for a cell in small size. Check that the correct possible entries in small size are displayed in the cell
(Su.Pl.RC.1.3) #12
""Show candidates for grid"" option in the Assist menu shows the possible entries for all the empty cells of the grid in small size. Check that the correct possible entries in small size are displayed in all the empty cells of the grid.
","PASSED","",""
"","Picdoku creation","CheckGrid"," 'Check grid' option in the Assist menu verifies the entire grid.. Error check mode is off. Enter incorrect digits in a few cells in the grid and click the 'Check cell' option. The incorrect letters should now be shown in red until they are overwritten.","PASSED","",""
"","Picdoku creation","RevealGridTest","(Su.Pl.RC.1.5) #15
 Verify that the 'Reveal grid' option in the Assist menu reveals the entire grid.","PASSED","",""
"","Picdoku creation","ErrorCheckModeTest","(Su.Pl.RC.2.1) #18
 Enable the Error check mode via Settings option (default off). Verify that any incorrect entries in the grid have been marked in red","PASSED","",""
"","Picdoku creation","CatchConflictsTest","(Su.Pl.RC.2.3) #20
 Enable the Catch conflicts setting via Settings option (default off). Verify that any conflicting entries are marked in red.","PASSED","",""
"","Picdoku creation","HighlightedSelectedEntriesTest","(Su.Pl.RC.2.4) #21
 Enable the Highlight selected entries setting via Settings option (default on). Verify that all the entries in the grid that match the entry in the selected box are highlighted.","PASSED","",""
"","Picdoku creation","UpdatePencilEntriesTest","(Su.Pl.RC.2.5) #22
 Enable the Update pencil entries setting via Settings option (default off). Verify that pencil entries are automatically updated when something is entered or deleted in the grid.","PASSED","",""
"","Picdoku creation","ShowNonConflictingGroupMode","(Su.Pl.RC.2.2) #19
 Enable the Show non-conflicting group setting via Settings option (default off). Verify that the boxes that should not have conflicting entries with the selected box are highlighted.","PASSED","",""
"","Picdoku creation","PrintOptionsTest","(Su.Pl.Pr.1.1) #16 Check that the “Print” option has the following: Blank puzzle - Verify that the print html includes the pre-revealed entries as well Puzzle with filled letters -- Verify that the print html includes the pre-revealed entries and the entered letters as well. This option should not be enabled when nothing has been entered as yet in the grid. Solution -- Verify that the print html shows the solved grid","PASSED","",""
"","Picdoku creation","printGridCheck","Print blank puzzle test - checks grid layout in the print page.","PASSED","",""
"","Picdoku creation","printFilledLettersGridCheck","Print filled letter puzzle test - checks entered letters are present in the print filled page","PASSED","",""
"","Picdoku creation","printSolutionGridCheck","Print solution puzzle test - checks all letters revealed in solution puzzle","PASSED","",""
"sudoku","Wordoku creation","UndoRedoTest","(Su.Pl.RC.1.1) #11 “Undo and Redo” option in the Assist menu option.","PASSED","",""
"","Wordoku creation","PenAndPencilTest","(Su.Pl.PM.1.1) #09 -  
Check if entries can be made in either pen mode or pencil mode. Pencil mode entries are shown in small size. Toggle between pen and pencil modes by clicking on the respective option in the navbar or by pressing the space bar.
","PASSED","",""
"","Wordoku creation","ShowCandidatesTest","(Su.Pl.RC.1.2) #11
 'Show candidates for cell' option in the Assist menu shows the possible entries for a cell in small size. Check that the correct possible entries in small size are displayed in the cell
(Su.Pl.RC.1.3) #12
""Show candidates for grid"" option in the Assist menu shows the possible entries for all the empty cells of the grid in small size. Check that the correct possible entries in small size are displayed in all the empty cells of the grid.
","PASSED","",""
"","Wordoku creation","CheckGrid"," 'Check grid' option in the Assist menu verifies the entire grid.. Error check mode is off. Enter incorrect digits in a few cells in the grid and click the 'Check cell' option. The incorrect letters should now be shown in red until they are overwritten.","PASSED","",""
"","Wordoku creation","RevealGridTest","(Su.Pl.RC.1.5) #15
 Verify that the 'Reveal grid' option in the Assist menu reveals the entire grid.","PASSED","",""
"","Wordoku creation","ErrorCheckModeTest","(Su.Pl.RC.2.1) #18
 Enable the Error check mode via Settings option (default off). Verify that any incorrect entries in the grid have been marked in red","PASSED","",""
"","Wordoku creation","CatchConflictsTest","(Su.Pl.RC.2.3) #20
 Enable the Catch conflicts setting via Settings option (default off). Verify that any conflicting entries are marked in red.","PASSED","",""
"","Wordoku creation","HighlightedSelectedEntriesTest","(Su.Pl.RC.2.4) #21
 Enable the Highlight selected entries setting via Settings option (default on). Verify that all the entries in the grid that match the entry in the selected box are highlighted.","PASSED","",""
"","Wordoku creation","UpdatePencilEntriesTest","(Su.Pl.RC.2.5) #22
 Enable the Update pencil entries setting via Settings option (default off). Verify that pencil entries are automatically updated when something is entered or deleted in the grid.","PASSED","",""
"","Wordoku creation","ShowNonConflictingGroupMode","(Su.Pl.RC.2.2) #19
 Enable the Show non-conflicting group setting via Settings option (default off). Verify that the boxes that should not have conflicting entries with the selected box are highlighted.","PASSED","",""
"","Wordoku creation","PrintOptionsTest","(Su.Pl.Pr.1.1) #16 Check that the “Print” option has the following: Blank puzzle - Verify that the print html includes the pre-revealed entries as well Puzzle with filled letters -- Verify that the print html includes the pre-revealed entries and the entered letters as well. This option should not be enabled when nothing has been entered as yet in the grid. Solution -- Verify that the print html shows the solved grid","PASSED","",""
"","Wordoku creation","printGridCheck","Print blank puzzle test - checks grid layout in the print page.","PASSED","",""
"","Wordoku creation","printFilledLettersGridCheck","Print filled letter puzzle test - checks entered letters are present in the print filled page","PASSED","",""
"","Wordoku creation","printSolutionGridCheck","Print solution puzzle test - checks all letters revealed in solution puzzle","PASSED","",""
"sudoku","Wordoku edit","UndoRedoTest","(Su.Pl.RC.1.1) #11 “Undo and Redo” option in the Assist menu option.","PASSED","",""
"","Wordoku edit","PenAndPencilTest","(Su.Pl.PM.1.1) #09 -  
Check if entries can be made in either pen mode or pencil mode. Pencil mode entries are shown in small size. Toggle between pen and pencil modes by clicking on the respective option in the navbar or by pressing the space bar.
","PASSED","",""
"","Wordoku edit","ShowCandidatesTest","(Su.Pl.RC.1.2) #11
 'Show candidates for cell' option in the Assist menu shows the possible entries for a cell in small size. Check that the correct possible entries in small size are displayed in the cell
(Su.Pl.RC.1.3) #12
""Show candidates for grid"" option in the Assist menu shows the possible entries for all the empty cells of the grid in small size. Check that the correct possible entries in small size are displayed in all the empty cells of the grid.
","PASSED","",""
"","Wordoku edit","CheckGrid"," 'Check grid' option in the Assist menu verifies the entire grid.. Error check mode is off. Enter incorrect digits in a few cells in the grid and click the 'Check cell' option. The incorrect letters should now be shown in red until they are overwritten.","PASSED","",""
"","Wordoku edit","RevealGridTest","(Su.Pl.RC.1.5) #15 Verify that the 'Reveal grid' option in the Assist menu reveals the entire grid.","PASSED","",""
"","Wordoku edit","ErrorCheckModeTest","(Su.Pl.RC.2.1) #18 Enable the Error check mode via Settings option (default off). Verify that any incorrect entries in the grid have been marked in red","PASSED","",""
"","Wordoku edit","CatchConflictsTest","(Su.Pl.RC.2.3) #20 Enable the Catch conflicts setting via Settings option (default off). Verify that any conflicting entries are marked in red.","PASSED","",""
"","Wordoku edit","HighlightedSelectedEntriesTest","(Su.Pl.RC.2.4) #21 Enable the Highlight selected entries setting via Settings option (default on). Verify that all the entries in the grid that match the entry in the selected box are highlighted.","PASSED","",""
